participantId,trialId,shotType,timestamp,startX,startY,endX,endY,speed,height,ballColor,courtColor,guessX,guessY,errorFt,demographics
"9d36033d-580d-4abb-abeb-0be3a9e32a45","pickleball-practice1_3","practice",2026-03-04T20:55:41.311Z,2,4,18,34,1500,10,#ccff00,#1a237e,18.22,35.49,1.5,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","baseline-drive-1_5","drive",2026-03-04T20:55:48.980Z,14.2,2.1000000000000014,2,39.9,1040,7.5,#ccff00,#1a237e,1.93,39.78,0.14,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","baseline-drop-1_7","drop",2026-03-04T20:55:56.704Z,18.7,6.399999999999999,16.2,25.1,1337,8.4,#ccff00,#1a237e,16.68,25.11,0.48,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","baseline-lob-1_9","lob",2026-03-04T20:56:04.147Z,17.6,1.2999999999999972,2.5,40.8,2294,17.7,#ccff00,#1a237e,2.89,40.36,0.59,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-orange-lob-1_11","lob",2026-03-04T20:56:12.050Z,4.9,0.8999999999999986,12.6,41.1,2333,17.5,#ff6600,#1a237e,12.85,39.61,1.51,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-orange-drive-1_12","drive",2026-03-04T20:56:16.701Z,3.5,0.29999999999999716,13.8,42.2,937,6.6,#ff6600,#1a237e,14.55,43.11,1.18,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-orange-drop-1_13","drop",2026-03-04T20:56:21.541Z,1.4,0.5,6.7,24.9,1329,8.1,#ff6600,#1a237e,11.35,38.19,14.08,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-pink-lob-1_14","lob",2026-03-04T20:56:27.232Z,5.9,0.8999999999999986,16.8,41.1,2330,21.9,#ff69b4,#1a237e,11.35,38.19,6.18,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-pink-drop-1_15","drop",2026-03-04T20:56:32.226Z,14.6,2.299999999999997,17,23.1,1281,11.4,#ff69b4,#1a237e,11.35,38.19,16.12,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-pink-drive-1_16","drive",2026-03-04T20:56:37.106Z,18.1,2,8.7,43.7,951,7.6,#ff69b4,#1a237e,12.43,27.9,16.23,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-cyan-drop-1_17","drop",2026-03-04T20:56:41.487Z,5.6,5.700000000000003,18,23.1,1263,9.8,#00e5ff,#1a237e,16.26,25.4,2.88,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-cyan-lob-1_18","lob",2026-03-04T20:56:47.069Z,3.1,1.8999999999999986,7.4,40.9,2410,17.1,#00e5ff,#1a237e,7.43,35.53,5.37,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","ball-cyan-drive-1_19","drive",2026-03-04T20:56:51.655Z,7.7,1.7000000000000028,18,42.3,1068,6.6,#00e5ff,#1a237e,8.47,36.19,11.32,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-green-lob-1_21","lob",2026-03-04T20:57:02.107Z,14.4,1,7,44,2356,21.5,#ccff00,#2e7d32,7.22,42.44,1.57,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-green-drop-1_22","drop",2026-03-04T20:57:07.122Z,8.4,0.20000000000000284,13.8,24.3,1409,11.2,#ccff00,#2e7d32,14.3,23.36,1.07,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-green-drive-1_23","drive",2026-03-04T20:57:11.622Z,11.5,1.1000000000000014,11.4,42.3,1095,6.8,#ccff00,#2e7d32,11.89,35.32,7,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-red-drive-1_24","drive",2026-03-04T20:57:16.137Z,18.2,0.7999999999999972,7.7,39.1,896,5.7,#ccff00,#c62828,11.89,35.32,5.64,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-red-drop-1_25","drop",2026-03-04T20:57:20.890Z,3.2,3.3999999999999986,18.5,23.3,1289,11,#ccff00,#c62828,11.89,35.32,13.72,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-red-lob-1_26","lob",2026-03-04T20:57:26.727Z,17.3,3.1000000000000014,16.6,42.2,2391,19,#ccff00,#c62828,11.89,35.32,8.34,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-purple-drop-1_27","drop",2026-03-04T20:57:31.728Z,5.5,0.8999999999999986,13.1,24.7,1545,11.4,#ccff00,#4a148c,11.89,35.32,10.69,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-purple-lob-1_28","lob",2026-03-04T20:57:37.689Z,1.4,0.29999999999999716,4.3,42.9,2259,19.3,#ccff00,#4a148c,11.89,35.32,10.73,"21 | Male | 2 | Corrective lenses"
"9d36033d-580d-4abb-abeb-0be3a9e32a45","court-purple-drive-1_29","drive",2026-03-04T20:57:42.160Z,6.8,2.1000000000000014,5.4,39.4,922,7.5,#ccff00,#4a148c,11.89,35.32,7.66,"21 | Male | 2 | Corrective lenses"
